,0,1,2,3,4,5,6,7,8,9,score
0,5,3,2,7,1,0,1,2,0,0,7.0
1,0,1,0,0,0,0,0,0,0,0,7.6
2,0,0,0,1,1,0,0,2,1,2,6.0
3,46,0,0,0,0,0,0,0,0,0,8.5
4,0,0,0,0,0,0,0,0,1,1,10.3
5,0,0,0,0,0,0,0,0,0,0,10.5
6,0,0,0,0,0,0,0,0,0,0,8.0
7,0,4,2,0,2,6,4,2,4,0,8.1
8,19,1,0,0,0,1,0,0,0,0,9.3
9,1,0,0,0,0,0,4,3,1,1,6.9
10,0,3,0,0,0,0,0,0,0,3,9.9
11,26,1,3,0,0,0,0,0,0,0,6.6
12,0,0,0,0,0,0,0,0,0,0,7.5
13,0,0,0,0,0,0,0,0,0,0,5.4
14,40,0,0,0,0,0,0,0,0,0,6.5
15,7,0,0,0,0,0,5,1,0,0,8.8
16,0,6,3,2,0,0,4,2,0,1,10.4
17,0,2,1,2,3,2,3,0,0,0,7.4
18,10,0,0,0,0,0,0,0,0,0,6.4
19,0,0,0,0,0,0,0,0,0,0,6.7
20,29,1,0,0,0,0,0,0,0,0,9.1
21,37,0,0,0,0,0,0,0,0,0,10.0
22,4,3,0,0,2,0,0,1,1,0,8.4
23,8,3,0,0,0,0,4,0,1,0,10.6
24,35,1,0,0,0,0,0,0,0,0,10.7
25,1,1,1,0,13,0,2,0,0,0,8.6
26,3,0,0,0,0,0,1,7,0,0,7.4
27,40,0,0,0,0,0,0,0,0,0,10.1
28,2,0,0,0,0,0,0,6,0,0,8.2
29,0,0,0,0,4,12,4,1,0,1,9.9
30,34,1,0,0,0,0,0,0,0,0,9.6
31,35,3,0,0,0,0,0,0,0,0,8.7
32,9,0,0,0,0,8,2,0,0,0,6.9
33,14,1,0,0,0,0,0,1,1,0,8.7
34,2,1,2,2,0,4,2,1,0,0,8.0
35,0,0,0,0,0,0,0,14,1,0,8.8
36,46,0,0,0,0,0,0,0,0,0,9.1
37,27,2,0,0,0,0,0,0,0,0,7.5
38,22,0,0,0,2,1,0,0,0,0,8.9
39,4,0,0,8,0,0,0,0,0,0,10.2
40,0,0,0,0,0,0,0,0,0,0,7.8
41,0,0,0,0,0,0,0,0,0,0,8.9
42,41,0,0,0,0,0,0,0,0,0,8.7
43,39,0,0,0,0,0,0,0,0,0,9.5
44,38,1,0,0,0,0,0,0,0,0,9.9
45,49,0,0,0,0,0,0,0,0,0,9.5
46,24,1,0,1,0,0,1,0,0,0,4.9
47,38,0,0,0,0,0,0,0,0,0,10.6
48,40,0,0,0,0,0,0,0,0,0,8.2
49,37,0,0,0,0,0,0,0,0,0,7.7
50,36,0,0,0,0,0,0,0,0,0,7.8
51,31,0,0,0,0,0,0,0,0,0,7.8
52,37,0,0,0,0,0,0,0,0,0,8.8
53,33,0,0,0,0,0,0,0,0,0,9.4
54,43,0,0,0,0,0,0,0,0,0,6.7
55,44,0,0,0,0,0,0,0,0,0,6.7
56,25,0,0,0,0,0,0,0,0,0,8.6
57,38,0,0,0,0,0,0,0,0,0,8.8
58,38,0,0,0,0,0,0,0,0,0,6.8
59,30,3,0,0,0,0,0,0,0,0,8.1
60,1,0,0,0,4,0,0,0,0,0,7.6
61,19,0,0,0,0,0,0,0,0,0,7.5
62,51,0,0,0,0,0,0,0,0,0,9.1
63,0,0,0,0,2,0,3,0,0,0,9.3
64,14,0,0,0,0,0,0,0,0,0,9.6
65,47,0,0,0,0,0,0,0,0,0,7.4
66,49,0,0,0,0,0,0,0,0,0,9.2
67,14,0,0,0,0,0,0,0,0,0,9.3
68,23,0,0,0,0,0,0,0,0,0,9.8
69,8,0,0,0,0,0,0,0,0,0,9.5
70,22,0,0,0,0,0,0,0,0,0,7.4
71,50,0,0,0,0,0,0,0,0,0,8.6
72,39,0,0,0,0,0,0,0,0,0,7.8
73,42,0,0,0,0,0,0,0,0,0,9.8
74,0,0,0,3,1,2,0,0,0,0,10.4
75,0,0,0,3,8,1,0,0,0,0,9.5
76,0,0,0,0,3,3,0,0,0,0,7.8
