,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,2,1,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0
2,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,1,0,0
4,0,6,3,2,0,0,4,2,0,1,1,1,2,0,1,1,0,0,0,0
5,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
8,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,4,12,4,1,0,1,1,0,0,0,2,1,0,0,0,0
11,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,3,1,2,0,0,0,0,7,2,0,0,0,0,0,0,0,0
28,0,0,0,3,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,1,0,0,0,10,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
61,1,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
62,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
66,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0
68,3,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0
71,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,2,0,0,3,15,1,0,0,0,0,0,0
74,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
76,0,0,0,0,0,0,1,0,0,0,0,0,4,6,0,0,0,0,0,0
77,0,0,1,0,1,0,0,0,1,0,0,5,7,0,0,0,0,0,0,0
78,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
80,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
85,0,0,0,0,2,0,0,4,0,0,0,4,1,1,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
88,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,1,0,1,0,0,0,0,12,5,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
92,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
93,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,1,1,0,1,0,3,3,1,0,0,0,0,0,0,0,0
96,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,7,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,10,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
100,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,0,1,0,3,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0
102,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,3,1,0,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0
106,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,3,0,0,14,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
109,10,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,10,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
117,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,1,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0
