,delta_Fp,theta_Fp,alpha_Fp,beta_Fp,gamma_Fp,delta_F,theta_F,alpha_F,beta_F,gamma_F,delta_FC,theta_FC,alpha_FC,beta_FC,gamma_FC,delta_M,theta_M,alpha_M,beta_M,gamma_M,delta_P,theta_P,alpha_P,beta_P,gamma_P,delta_O,theta_O,alpha_O,beta_O,gamma_O,score
0,0.10219549646983438,0.1217232856429033,0.12783717825670118,0.5046519116924384,0.1165374519613445,0.18936640808904678,0.164181026610565,0.11858397523046918,0.3858707971426601,0.08501873664810776,0.1891728049837888,0.16903299269526106,0.13506353878022737,0.3934509138985629,0.06469271424019442,0.08735394816577134,0.1490864286906664,0.18226427839696452,0.5020919634904717,0.05907339900379443,0.12344371329068818,0.16440856313342792,0.17071029256967757,0.43605548778837805,0.07353559024485849,0.06924556767125495,0.12406084036813828,0.14418072830982975,0.5538514522896695,0.08944741832000244,10.3
1,0.13825739152669128,0.13335116363676092,0.1117703076361747,0.4199695685783304,0.14383745093319963,0.3316114556075953,0.22998036121374615,0.13496897383326822,0.1678093764547584,0.03630805865221541,0.3575674879358217,0.23602256381515047,0.13036925350155532,0.15062862708849178,0.024349214353507294,0.2809725790021762,0.2096342064486013,0.1177760499921286,0.29186131457051806,0.021432138842434903,0.21920416344436883,0.18951865502886983,0.14642776611216737,0.3280904530170765,0.0534010828539633,0.2383137030740004,0.1640642021180174,0.09011458789863777,0.38886864309535574,0.05730561371842646,7.0
2,0.06989094302760089,0.0943628412726445,0.13220854736447793,0.554261188408535,0.11403993291263387,0.14163445768312508,0.13806336584098083,0.12543872178348242,0.43141582612967894,0.09134390150404972,0.15078141267086176,0.15359326520402491,0.13792208172783774,0.41242423440379367,0.0784694916099027,0.1725853296842351,0.1868755654569535,0.13706737868079444,0.4040295162024342,0.05351839386050472,0.15055931008972132,0.14444277315870335,0.07721071980003799,0.46978943781747,0.10775903039149963,0.13307084196753535,0.18884367950008413,0.1389652553859474,0.4332085150668791,0.06465414990684344,9.4
3,0.2146898245740919,0.16585736422229658,0.11233671141245989,0.39011765905592705,0.037233352184781694,0.18837952550177167,0.18314240687485087,0.1507283571066882,0.32799366256838186,0.03450896254138963,0.1628152615841783,0.17922386917339803,0.17798593275507707,0.40093021446888055,0.02439268989350648,0.047340332560693824,0.1468555965624161,0.1612807951306964,0.5507077260513531,0.07098313484362771,0.16476454621185324,0.17429138885196266,0.1124673094384758,0.4373943112764188,0.06188050072050658,0.050446937653828544,0.11551342103865564,0.13685534282961215,0.5945993425133129,0.08414821845429755,6.5
4,0.17355247561907397,0.11320303693645391,0.04146622492677358,0.5013723381667617,0.10058222630077973,0.26635435876817104,0.18821891533878196,0.0772451649953237,0.3189048427865658,0.05003045578537605,0.289715612365444,0.19591588231427384,0.08138843987226775,0.2978053144223439,0.04147380831801193,0.13962161567032255,0.186298740509149,0.15735444826957096,0.4451082156301204,0.03308900953767507,0.29571992138486325,0.21425195208718276,0.053028152815904006,0.2923585857983492,0.06273974399261424,0.1886099491922685,0.17341118466041902,0.11110470589531518,0.42205828151270874,0.049726113420671236,9.6
5,0.504810383933677,0.31578352658400477,0.01601707391487292,0.020911496114797767,0.002981237534456265,0.4331246358615107,0.28391027086876114,0.050176052459306474,0.08444722175153088,0.009735055600704002,0.3346286469874985,0.26909658144154547,0.11170881250547388,0.18016227121437056,0.012635661932060383,0.23118254056648505,0.15972672820958556,0.07936713177951787,0.4115976212953164,0.055406663457885974,0.40710675852443357,0.27655857405663326,0.062495021827467856,0.1303940517149001,0.018059267356802237,0.33782808681085896,0.2442459809853762,0.08392548388146634,0.21311327782979927,0.036286507508580534,5.8
6,0.09896773261379084,0.0834114398313604,0.09521289085492561,0.44583641723028933,0.11215436459854748,0.12134147650134013,0.11370188242247706,0.11914536180681615,0.3900879123873307,0.09589839942358427,0.20467724546914762,0.16433883315094483,0.15516915767623243,0.342061837836025,0.05879670620816343,0.11934084981567072,0.14898447346020688,0.1414875722378233,0.41367882680865653,0.12728364740273584,0.19218040289177596,0.18153686075978398,0.1486742273240626,0.32433963160630236,0.069721453484368,0.13271998213011543,0.13041454687354948,0.09795566503495035,0.43854892355777336,0.14174729608342912,10.0
7,0.46681421287474806,0.29019741906945257,0.021217412330942775,0.07535561854545847,0.012317965625844335,0.40324188744235395,0.2625786767076616,0.05149818375903374,0.13196929533719687,0.01777149622666094,0.39247965543985386,0.28751901332753416,0.0689947283135383,0.13386173826852507,0.009683596602166963,0.10687807546188019,0.12701300369164942,0.1413859042291264,0.5245878577702814,0.06788181458355437,0.3756051525875394,0.2883216101019743,0.06384985835252477,0.1584832025522836,0.015906230191354488,0.2792297266088264,0.28869730046014497,0.11252964382233602,0.2293076391193799,0.01915430139585687,7.9
8,0.11487267084661824,0.126902304852784,0.07584913375448597,0.4412774992527749,0.0945318596043978,0.11554971031051853,0.11663103268924171,0.10328398360437366,0.4408892268706744,0.10253546691068141,0.1873990614125459,0.15984829646175355,0.13474437608528259,0.3895544845562472,0.06183248441136513,0.07596289001921776,0.13248456968581604,0.15360957015191842,0.5083805364586717,0.10257386636777699,0.14298661343772195,0.13576410016245882,0.1335289319099294,0.44150073576918814,0.0862448156156479,0.07054952618983928,0.11234634895908181,0.1645577525120258,0.5126289569499876,0.10245400242811431,9.2
9,0.30989273077272245,0.2510846986995898,0.11631902035241909,0.19936546723729198,0.0196598155943488,0.34256066068163293,0.25095586520701807,0.09153315474899837,0.1548987447800642,0.025039743692790495,0.29598691458851556,0.23803401092914667,0.13411809850333128,0.22950110641198418,0.02343202789184124,0.14111556880291257,0.1576890919449939,0.17005582759458063,0.42073308160466555,0.07004476653153714,0.29480428899279676,0.23206963609619313,0.11266503919318709,0.2534604537736573,0.031494961453353884,0.11086825839574899,0.16143973612894028,0.18121419917368553,0.45719744055009137,0.06302515233906228,7.1
